Company Name,Clean Company Name,Extensions,Position,"Error (1/0) 1 = yes, 0 = no",,,
Sprint by PG Wireless,Sprint by PG Wireless,,,,,,
Telebroad,Telebroad,,,,,,
LB Networks,LB Networks,,,,,,
Stealth Startup,Stealth Startup,,,,,Key,
ControlScan,ControlScan,,,,,Error(1/0),Extensions not accounted for in this model for example :
CIT Solutions Pvt. Ltd.,CIT Solutions,Pvt. Ltd.,,,,,.com/.org/etc
TruKno,TruKno,,,,,,
HighComm,HighComm,HighComm,,,,Extensions,Unique Extensions we need to append in base list from this row value
RTI Cable,RTI Cable,,,,,,
IQ Wired,IQ Wired,,,,,,
WheresTheBus LLC,WheresTheBus,LLC,,,,,
Telefónica,Telefónica,,,,,,
XL Broadband,XL Broadband,,,,,,
Etherstuff,Etherstuff,,,,,,
RingLeader Inc.,RingLeader,Inc.,,,,,
Vio Distribution,Vio Distribution,,,,,,
Creative Switching Designs,Creative Switching Designs,,,,,,
Ohiya Networks,Ohiya Networks,,,,,,
Trawell Data Services Inc.,,,,,,,
On The Run Entertainment,,,,,,,
Veteran Communications Group Inc,,,,,,,
LIDO Organization,,,,,,,
4Com GmbH & Co.KG,,,,,,,
Ternio,,,,,,,
CPS,,,,,,,
"Telinta, Inc.",,,,,,,
NationsLink Communications Inc.,,,,,,,
North Star Leasing,,,,,,,
CRA Telecom Inc.,,,,,,,
IElevated,,,,,,,
unitrinity llc,,,,,,,
ArribaCom,,,,,,,
"VTCSecure, LLC",,,,,,,
Dacal Inc.,,,,,,,
Nflexon,,,,,,,
VESAG Health Inc,,,,,,,
Kloudberry LLC,,,,,,,
Stratus Telecom,,,,,,,
SmartSource Consulting,,,,,,,
Fluency Corp,,,,,,,
Babl,,,,,,,
Legallogs.com,,,,,,,
"ten9, Inc.",,,,,,,
Rosser Revenue Consultants ,,,,,,,
AVD Solutions Inc.,,,,,,,
Kerauno,,,,,,,
"Unified Office, Inc.",,,,,,,
"VelaTel Global Communications, Inc.",,,,,,,
"Emergency Vehicle Specialists, Inc. (EVS)",,,,,,,
"New Jersey Orators, Inc.",,,,,,,
Fiplex Communications,,,,,,,
"Synergem Technologies, Inc",,,,,,,
"EVP Information Services, Inc",,,,,,,
LionShare Media,,,,,,,
Shireen Inc,,,,,,,
Fiber Optic Center,,,,,,,
"Datahost, LLC",,,,,,,
Abbeyholdings,,,,,,,
New Eelam,,,,,,,
IPath Cloud Solutions Inc.,,,,,,,
"Stay Alive, Inc",,,,,,,
Convoyer,,,,,,,
"Iono Solutions, Inc.",,,,,,,
Innowave LLC,,,,,,,
Watch Communications,,,,,,,
Expeto,,,,,,,
Interactive Art,,,,,,,
Gila River Telecommunications Inc.,,,,,,,
Consulting Consortium,,,,,,,
ConnectOps,,,,,,,
Xylexa Inc.,,,,,,,
Nimble This LLC,,,,,,,
TeXium,,,,,,,
Cochrane Cooperative Telephone Company,,,,,,,
Computer Frontiers Inc.,,,,,,,
Simotel Partners,,,,,,,
SiTune Corporation,,,,,,,
In-telligent LLC,,,,,,,
Connectnationwide.com,,,,,,,
Lustir,,,,,,,
Cynergy Solutions,,,,,,,
Ryder System Inc.,,,,,,,
Cebod Telecom,,,,,,,
ENGITEL LLC,,,,,,,
PJD Investments,,,,,,,
Moti Technologies,,,,,,,
"Hill Country Network Consulting, LLC",,,,,,,
Genesis,,,,,,,
Teleira,,,,,,,
Zalo Technologies,,,,,,,
Walker Cellular Inc.,,,,,,,
"SDG Strategy, LLC",,,,,,,
Total Communicator Solutions Inc.,,,,,,,
Built4U Mobile,,,,,,,
Napoli Management Group,,,,,,,
Dropkiq,,,,,,,
Hashtag Venture,,,,,,,
NXT Global Communications,,,,,,,
Silicon Valley Internship Programme,,,,,,,
www.fundacionfuncionesperanza.org,,,,,,,
Stealth Mode Startup Company,,,,,,,
Grudi Associates,,,,,,,
"ComSource,Inc.",,,,,,,
Nommi,,,,,,,
AT&T,,,,,,,
Jivetel Communications,,,,,,,
Bulgaria Sat,,,,,,,
Persimmon Telecommunications,,,,,,,
SpaceTel Consultancy LLC,,,,,,,
"Hyper Fusion, LLC",,,,,,,
South Florida Telecom LLC,,,,,,,
"AKA Management, Inc.",,,,,,,
"CT Distributing, Inc.",,,,,,,
Terawave LLC,,,,,,,
"CIN Cuba International Network, LLC",,,,,,,
ESchool4Girls,,,,,,,
"Alaurus, LLC",,,,,,,
WePlayed,,,,,,,
Clear Connection,,,,,,,
Data Communications Leader,,,,,,,
"Silver Park Group, LLC",,,,,,,
CloudOgre.com,,,,,,,
Truth Communications Inc.,,,,,,,
Net2Phone,,,,,,,
NEDAS,,,,,,,
Standing In The Gap Incorporated,,,,,,,
Government Blockchain Association,,,,,,,
Segra,,,,,,,
ConnectBillions,,,,,,,
Wivity Inc.,,,,,,,
Aurora Insight Inc.,,,,,,,
"Ocean Networks, Inc.",,,,,,,
OXIO,,,,,,,
Soletics LLC,,,,,,,
RGRAUTO Inc,,,,,,,
+Charge,,,,,,,
Zen Labs Fitness,,,,,,,
innoverit,,,,,,,
"EWEBDEVELOP, INC.",,,,,,,
"Pivot Network, Inc.",,,,,,,
Cordova Computers,,,,,,,
Colorado AF,,,,,,,
Nlets,,,,,,,
Stopwatch,,,,,,,
101 Telco Solutions Inc.,,,,,,,
"ProfitMaster USA, Inc.",,,,,,,
Outlogix,,,,,,,
Ballast Networks,,,,,,,
RogueOwl Marketing,,,,,,,
Go Answer,,,,,,,
LanYap Networks,,,,,,,
Omnetrium Inc.,,,,,,,
Nflexon,,,,,,,
ThinQ,,,,,,,
Great America Networks Conferencing,,,,,,,
HydraHealth I.V.,,,,,,,
Telecom Search Group Inc.,,,,,,,
Cloud Rider Networks Inc.,,,,,,,
Cottonwood Communications LLC,,,,,,,
K4 Mobility,,,,,,,
ComTest Technologies,,,,,,,
"Telecom Resource Group, Inc.",,,,,,,
IQ NetSolutions CA Inc.,,,,,,,
Brillio,,,,,,,
ShareTracker,,,,,,,
Clear Connection Inc,,,,,,,
RJ10 Consulting,,,,,,,
Washington Kastles - World TeamTennis,,,,,,,
"Elysian Fiber, LLC",,,,,,,
The Bowie Group LLC,,,,,,,
Ninja Number,,,,,,,
Gillstar Group LLC,,,,,,,
DragonSlayer,,,,,,,
"4Voice,LLC",,,,,,,
EnerTribe Inc.,,,,,,,
"RazorLine, L.L.C.",,,,,,,
Fine Art Memorials Inc.,,,,,,,
Avail,,,,,,,
Ruggear USA,,,,,,,
Allied Communications,,,,,,,
Danforth Communications,,,,,,,
Intermix Technologies,,,,,,,
Condista,,,,,,,
Pacific Telecommunications Council,,,,,,,
INVAUTEL,,,,,,,
